bird_name,scientific_name,family,at_a_glance,conservation_status,habitat,url
American Goldfinch,Spinus tristis,,"A typical summer sight is a male American Goldfinch flying over a meadow, flashing golden in the sun, calling ""perchickory"" as it bounds up and down in flight. In winter, when males and females alike are colored in subtler brown, flocks of goldfinches congregate in weedy fields and at feeders, making musical and plaintive calls. In most regions, this is a late nester, beginning to nest in mid-summer, perhaps to assure a peak supply of late-summer seeds for feeding its young.",Least Concern,"Arroyos and Canyons, Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/american-goldfinch
Northern Mockingbird,Mimus polyglottos,,"This bird's famous song, with its varied repetitions and artful imitations, is heard all day during nesting season (and often all night as well). Very common in towns and cities, especially in southern areas, the Northern Mockingbird often seeks insects on open lawns. When running in the open, it may stop every few feet and partly spread its wings, flashing the white wing patches. Northern Mockingbirds are bold in defense of their nests, attacking cats and even humans that venture too close.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Fields, Meadows, and Grasslands, Forests and Woodlands, Saltwater Wetlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/northern-mockingbird
Common Raven,Corvus corax,,"Of the birds classified as perching birds or 'songbirds,' the Common Raven is the largest, the size of a hawk. Often, its deep croaking call will alert the observer to a pair of Common Ravens soaring high overhead. An intelligent and remarkably adaptable bird, living as both a scavenger and a predator, it can survive in all seasons in surroundings as diverse as hot deserts and the High Arctic tundra. Once driven from much of its eastern range, the raven is now making a comeback.",Least Concern,"Arroyos and Canyons, Coasts and Shorelines, Desert and Arid Habitats, Forests and Woodlands, High Mountains, Landfills and Dumps, Shrublands, Savannas, and Thickets, Tundra and Boreal Habitats, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/common-raven
Indigo Bunting,Passerina cyanea,,"In parts of the East, Indigo Bunting may be the most abundant songbird, with the deep-blue males singing along every roadside. The plain brown females are seen far less often, and they have good reason to be inconspicuous: they do almost all the work of caring for the eggs and young, hidden away in dense thickets. This species favors brushy edges rather than unbroken forest, and is probably far more common today than several hundred years ago.",Least Concern,"Arroyos and Canyons, Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/indigo-bunting
Great Blue Heron,Ardea herodias,,"Widespread and familiar (though often called 'crane'), the Great Blue Heron is the largest heron in North America. Often seen standing silently along inland rivers or lakeshores, or flying high overhead, with slow wingbeats, its head hunched back onto its shoulders. Highly adaptable, it thrives around all kinds of waters from subtropical mangrove swamps to desert rivers to the coastline of southern Alaska. With its variable diet, it can spend the winter farther north than most herons, even in areas where most waters freeze.",Least Concern,"Coasts and Shorelines, Forests and Woodlands, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/great-blue-heron
Northern House Wren,Troglodytes aedon,,"A familiar backyard bird, the Northern House Wren was named long ago for its tendency to nest around human homes or in birdhouses. Very active and inquisitive, bouncing about with its short tail held up in the air, pausing to sing a rich bubbling song, it adds a lively spark to gardens and city parks despite its lack of bright colors. Various forms of this wren are found from central Canada to southern South America.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Fields, Meadows, and Grasslands, Forests and Woodlands, High Mountains, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/house-wren
Pileated Woodpecker,Dryocopus pileatus,,"A big, dashing bird with a flaming crest, the Pileated Woodpecker is the largest extant woodpecker in North America. Excavating deep into rotten wood to get at the nests of carpenter ants, the Pileated Woodpecker leaves characteristic rectangular holes in dead trees. This species became rare in eastern North America with the clearing of forests in centuries past, but has gradually increased in numbers again since about the beginning of the 20th century. Where unmolested, it even lives in parks and woodlots around the edges of large cities.",Least Concern,"Forests and Woodlands, Freshwater Wetlands, High Mountains, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/pileated-woodpecker
Northern Flicker,Colaptes auratus,,"This brown woodpecker flashes bright colors under the wings and tail when it flies. The Northern Flicker's ringing calls and short bursts of drumming can be heard in spring throughout most of North America. Two very different-looking forms -- Yellow-shafted Flicker in the east and north, and Red-shafted Flicker in the west -- were once considered separate species. They interbreed wherever their ranges come in contact. On the western Great Plains, there is a broad zone where all the flickers are intergrades between Red-shafted and Yellow-shafted.",Least Concern,"Arroyos and Canyons, Coasts and Shorelines, Desert and Arid Habitats, Fields, Meadows, and Grasslands, Forests and Woodlands, High Mountains, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/northern-flicker
Dark-eyed Junco,Junco hyemalis,,"In winter over much of the continent, flocks of Dark-eyed Juncos can be found around woodland edges and suburban yards, feeding on the ground, making ticking calls as they fly up into the bushes. East of the plains, the Dark-eyed Juncos are all gray and white, but in the West, they come in various color patterns, with reddish-brown on the back, sides, or both; some of these were once regarded as different species. The forms have separate ranges in summer, but in winter, several types may occur in the same flock in parts of the West.",Least Concern,"Desert and Arid Habitats, Forests and Woodlands, High Mountains, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/dark-eyed-junco
Eastern Screech-Owl,Megascops asio,,"This robin-sized nightbird is common over much of the east, including in city parks and shady suburbs, where many human residents are unaware they have an owl for a neighbor. The owl spends the day roosting in holes or in dense cover, becoming active at dusk. Despite the name, screech-owls do not screech; the voice of this species features whinnies and soft trills.",Least Concern,"Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/eastern-screech-owl
Black-capped Chickadee,Poecile atricapillus,,"Little flocks of Black-capped Chickadees enliven the winter woods with their active behavior and their cheery-sounding chick-a-dee callnotes as they fly from tree to tree, often accompanied by an assortment of nuthatches, creepers, kinglets, and other birds. This is a very popular bird across the northern United States and southern Canada, always welcomed at bird feeders, where it may take sunflower seeds one at time and fly away to stuff them into bark crevices.",Least Concern,"Forests and Woodlands, Freshwater Wetlands, High Mountains, Shrublands, Savannas, and Thickets, Tundra and Boreal Habitats, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/black-capped-chickadee
Eastern Bluebird,Sialia sialis,,"This is the most widespread of the three bluebirds. Although it is mostly 'eastern' in our area, the total range of the Eastern Bluebird extends south to Nicaragua. A high percentage of Eastern Bluebirds in North America today nest in birdhouses put up especially for them along 'bluebird trails.' When they are not nesting, these birds roam the countryside in small flocks.",Least Concern,"Arroyos and Canyons, Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/eastern-bluebird
Bald Eagle,Haliaeetus leucocephalus,,"The national emblem of the United States since 1782, the Bald Eagle is a cultural and spiritual symbol, a symbol of freedom, democracy, environmental ethics, and wilderness. Native American cultures consider the Bald Eagle a sacred symbol of strength, spirituality, and connection to the Creator; the National Eagle Repository recognizes the significance to federally recognized tribes and provides Bald Eagle feathers and parts for religious purposes. Bald Eagle populations have significantly recovered since the 1970s, with populations breeding throughout is historic range in the United States and Canada.",Least Concern,"Coasts and Shorelines, Forests and Woodlands, Freshwater Wetlands, Lakes, Ponds, and Rivers, Landfills and Dumps, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/bald-eagle
Baltimore Oriole,Icterus galbula,,"One of the most brilliantly colored songbirds in the east, flaming orange and black, sharing the heraldic colors of the coat of arms of 17th-century Lord Baltimore. Widespread east of the Great Plains, Baltimore Orioles are often very common in open woods and groves in summer. Their bag-shaped hanging nests, artfully woven of plant fibers, are familiar sights in the shade trees in towns. This bird was formerly considered to belong to the same species as the western Bullock's Oriole, under the combined name of Northern Oriole.",Least Concern,"Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/baltimore-oriole
Peregrine Falcon,Falco peregrinus,,"One of the world's fastest birds; in power-diving from great heights to strike prey, the Peregrine may possibly reach 200 miles per hour. Regarded by falconers and biologists alike as one of the noblest and most spectacular of all birds of prey. Although it is found on six continents, the Peregrine is uncommon in most areas; it was seriously endangered in the mid-20th century because of the effects of DDT and other persistent pesticides.",Least Concern,"Arroyos and Canyons, Coasts and Shorelines, Fields, Meadows, and Grasslands, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands, Tundra and Boreal Habitats, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/peregrine-falcon
Killdeer,Charadrius vociferus,,"Widespread, common, and conspicuous, the Killdeer calls its name as it flies over farmland and other open country. Like other members of the plover family, this species is often found at the water's edge, but it also lives in pastures and fields far from water. At times, it nests on gravel roofs or on lawns. Many a person has been fooled by the bird's 'broken-wing' act, in which it flutters along the ground in a show of injury, luring intruders away from its nest.",Least Concern,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/killdeer
Osprey,Pandion haliaetus,,"A very distinctive fish-hawk, formerly classified with other hawks but now placed in a separate family of its own. Along coastlines, lakes, and rivers almost worldwide, the Osprey is often seen flying over the water, hovering, and then plunging feet-first to catch fish in its talons. After a successful strike, the bird rises heavily from the water and flies away, carrying the fish head-forward with its feet. Bald Eagles sometimes chase Ospreys and force them to drop their catch. In many regions, landowners put up poles near the water to attract nesting Ospreys.",Least Concern,"Coasts and Shorelines, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/osprey
Carolina Wren,Thryothorus ludovicianus,,"More brightly colored than most wrens, and with a rich musical song, Carolina Wrens are common in open woods and backyards in the southeast. There they busily explore brushpiles and low tangles. The adults live in pairs all year, and they may 'duet' at any season, with the female giving a chattering note while the male sings. The northern edge of this species' range varies over time: it gradually expands northward during series of mild years, then gets knocked southward again by very severe winters.",Least Concern,"Fields, Meadows, and Grasslands, Forests and Woodlands, Freshwater Wetlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/carolina-wren
Red-winged Blackbird,Agelaius phoeniceus,,"Among our most familiar birds, the Red-winged Blackbird seems to sing its nasal songs in every marsh and wet field from coast to coast. They are notably bold, and several will often attack a larger bird, such as a hawk or crow, that flies over their nesting area. The red shoulder patches of the male, hidden under body feathers much of the time, are brilliantly displayed when he is singing. Outside the nesting season, Red-winged Blackbirds sometimes roost in huge concentrations.",Least Concern,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Forests and Woodlands, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/red-winged-blackbird
Eastern Whip-poor-will,Antrostomus vociferus,,"Often heard but seldom observed, the Eastern Whip-poor-will chants its name on summer nights in eastern woods. The song may seem to go on endlessly; a patient observer once counted 1,088 whip-poor-wills given rapidly without a break. By day, the bird sleeps on the forest floor or on a horizontal log or branch. This bird and the Mexican Whip-poor-will of the Southwest were considered a single species, the Whip-poor-will, until 2010, when they were split based on DNA and vocalization differences.",Near Threatened,"Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/eastern-whip-poor-will
Cedar Waxwing,Bombycilla cedrorum,,"With thin, lisping cries, flocks of Cedar Waxwings descend on berry-laden trees and hedges, to flutter among the branches as they feast. These birds are sociable at all seasons, and it is rare to see just one waxwing. Occasionally a line of waxwings perched on a branch will pass a berry back and forth, from bill to bill, until one of them swallows it. This species has a more southerly range than the Bohemian Waxwing, and is a familiar visitor to most parts of this continent south of the Arctic.",Least Concern,"Arroyos and Canyons, Coasts and Shorelines, Forests and Woodlands, Freshwater Wetlands, Lakes, Ponds, and Rivers, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/cedar-waxwing
Ruby-throated Hummingbird,Archilochus colubris,,"The Ruby-throated Hummingbird is the only breeding hummingbird in eastern North America. Hovering in front of a flower to sip nectar, the Ruby-throated Hummingbird beats its wings more than 50 times per second. Despite their small size, impressive migrants may migrate from Canada to Costa Rica. In general, hummingbird feeders are safe, but they should be placed out of reach of cats and windows, avoid red food coloring, and cleaned often.",Least Concern,"Coasts and Shorelines, Forests and Woodlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/ruby-throated-hummingbird
American Barn Owl,Tyto furcata,,"With its ghostly appearance, rasping shrieks, and habit of roosting in such places as church belfries, the American Barn Owl has attracted much superstition. However, it is really a good omen for farmers who find it in their barns, for it preys chiefly on mice and rats. Discovered in its daytime retreat, the American Barn Owl bobs its head and weaves back and forth, peering at the intruder. At night, it is often heard calling as it flies high over farmland or marshes. One of the most widespread of all landbirds, found on six continents and many islands.",Least Concern,"Arroyos and Canyons, Coasts and Shorelines, Desert and Arid Habitats, Fields, Meadows, and Grasslands, Forests and Woodlands, Saltwater Wetlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/barn-owl
Red-shouldered Hawk,Buteo lineatus,,"A hawk of the woodlands, often heard before it is seen. The clear whistled calls of this hawk are conspicuous, especially in spring; in the east, Blue Jays often give a near-perfect imitation of this call. Over much of eastern North America the Red-shoulder has become uncommon, sticking closely to the remaining forests. Populations in Florida and California are often more visible, perhaps adapting better to open habitats.",Least Concern,"Forests and Woodlands, Freshwater Wetlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/red-shouldered-hawk
American White Pelican,Pelecanus erythrorhynchos,,"One of the largest birds in North America, with a 9-foot wingspan. The American White Pelican is similar to Brown Pelican in shape but much larger, and very different in habits: Occurs far inland, feeds cooperatively in shallow lakes, does not dive from the air for fish. Despite its great size, a spectacular flier, with flocks often soaring very high in the air, ponderously wheeling and circling in unison.",Least Concern,"Coasts and Shorelines, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/american-white-pelican
Red-headed Woodpecker,Melanerpes erythrocephalus,,"This striking and unmistakable bird was a favorite of early ornithologists such as Alexander Wilson and Audubon. Often conspicuous because of its strong pattern, harsh calls, and active behavior in semi-open country, it tends to occur in small colonies. Although it migrates only short distances, little groups of migrants may be noticeable in early fall and late spring. Once a very common bird in eastern North America, the Red-headed Woodpecker is now uncommon and local in many regions.",Least Concern,"Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/red-headed-woodpecker
Sandhill Crane,Antigone canadensis,,"Found in several scattered areas of North America, Sandhill Cranes reach their peak abundance at migratory stopover points on the Great Plains. The early spring gathering of Sandhills on the Platte River in Nebraska is among the greatest wildlife spectacles on the continent, with over a quarter of a million birds present at one time. Although they are currently very common, their dependence on key stopover sites makes them vulnerable to loss of habitat in the future.",Least Concern,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Freshwater Wetlands, Saltwater Wetlands, Shrublands, Savannas, and Thickets, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/sandhill-crane
Red-bellied Woodpecker,Melanerpes carolinus,,"Primarily a bird of the southeast, where its rolling calls are familiar sounds in swamps and riverside woods. Omnivorous and adaptable, this woodpecker has also adjusted to life in suburbs and city parks, and in recent years it has been expanding its range to the north. Despite the name, the red on the belly is not often visible in the field.",Least Concern,"Forests and Woodlands, Freshwater Wetlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/red-bellied-woodpecker
Belted Kingfisher,Megaceryle alcyon,,"The Belted Kingfisher is widespread across most of North America but wanders widely, sometimes found in Britian, Ireland, Hawaii, Galapagos Islands, Greenland, Iceland, and the Netherlands. It is often first noticed by its rattling call as it flies along rivers or lakes. Perches on a high snag or hovers while rapidly beating wings before plunging headfirst into the water to grab fish or crayfish.",Least Concern,"Coasts and Shorelines, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/belted-kingfisher
Swallow-tailed Kite,Elanoides forficatus,,"Our most beautiful bird of prey, striking in its shape, its pattern, and its extraordinarily graceful flight. Hanging motionless in the air, swooping and gliding, rolling upside down and then zooming high in the air with scarcely a motion of its wings, the Swallow-tailed Kite is a joy to watch. At one time it was common in summer over much of the southeast, but today it is found mostly in Florida and a few other areas of the deep south.",Least Concern,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Forests and Woodlands, Freshwater Wetlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/swallow-tailed-kite
American Kestrel,Falco sparverius,,"The American Kestrel is the smallest falcon in North America, as well as the most familiar and widespread. In open country it is commonly seen perched on roadside wires, or hovering low over a field on rapidly beating wings, waiting to pounce on a grasshopper. The kestrel nests in tree cavities; in places where there are few large dead snags to provide nest sites, they may rely on nesting boxes put up for them by conservationists.",Least Concern,"Arroyos and Canyons, Coasts and Shorelines, Desert and Arid Habitats, Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/american-kestrel
Sharp-shinned Hawk,Accipiter striatus,,"The smallest of our bird-hunting Accipiter hawks, this one is also the most migratory, breeding north to treeline in Alaska and Canada and wintering south to Panama. It is during migration that the Sharp-shin is most likely to be seen in numbers, with dozens or even hundreds passing at some favored points on coastlines, lake shores, and mountain ridges. At other seasons the hawks lurk in the woods, ambushing songbirds and generally staying out of sight.",Least Concern,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/sharp-shinned-hawk
Brown Thrasher,Toxostoma rufum,,"The big, foxy-red Brown Thrasher is a familiar bird over much of the east. Sometimes it forages boldly on open lawns; more often it scoots into dense cover at any disturbance, hiding among the briar tangles and making loud crackling callnotes. Although the species spends most of its time close to the ground, the male Brown Thrasher sometimes will deliver its rich, melodious song of doubled phrases from the top of a tall tree.",Least Concern,"Fields, Meadows, and Grasslands, Forests and Woodlands, Freshwater Wetlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/brown-thrasher
House Sparrow,Passer domesticus,,"One of the most widespread and abundant songbirds in the world today, the House Sparrow has a simple success formula: it associates with humans. Native to Eurasia and northern Africa, it has succeeded in urban and farming areas all over the world -- including North America, where it was first released at New York in 1851. Tough, adaptable, aggressive, it survives on city sidewalks where few birds can make a living; in rural areas, it may evict native birds from their nests.",Least Concern,"Fields, Meadows, and Grasslands, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/house-sparrow
Downy Woodpecker,Dryobates pubescens,,"The smallest woodpecker in North America, the Downy Woodpecker is common and widespread, although it avoids the arid southwest. In the east this is the most familiar member of the family, readily entering towns and city parks, coming to backyard bird feeders. Its small size makes it versatile, and it may forage on weed stalks as well as in large trees. In winter it often joins roving mixed flocks of chickadees, nuthatches, and other birds in the woods.",Least Concern,"Fields, Meadows, and Grasslands, Forests and Woodlands, High Mountains, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/downy-woodpecker
White-breasted Nuthatch,Sitta carolinensis,,"Readily attracted to bird feeders for sunflower seeds or suet, the White-breasted Nuthatch may spend much of its time industriously carrying seeds away to hide them in crevices. Its nasal calls are typical and familiar sounds of winter mornings in deciduous woods over much of North America.",Least Concern,"Arroyos and Canyons, Forests and Woodlands, High Mountains, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/white-breasted-nuthatch
Turkey Vulture,Cathartes aura,,"A familiar sight in the sky over much of North America is the dark, long-winged form of the Turkey Vulture, soaring high over the landscape. Most birds are believed to have a very poor sense of smell, but the Turkey Vulture is an exception, apparently able to find carrion by odor.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Fields, Meadows, and Grasslands, Forests and Woodlands, High Mountains, Landfills and Dumps, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/turkey-vulture
Burrowing Owl,Athene cunicularia,,"Cowboys sometimes called these owls 'howdy birds,' because they seemed to nod in greeting from the entrances to their burrows in prairie-dog towns. Colorful fiction once held that owls, prairie-dogs, and rattlesnakes would all live in the same burrow at once. A long-legged owl of open country, often active by day, the Burrowing Owl is popular with humans wherever it occurs, but it has become rare in many areas owing to loss of habitat.",Least Concern,"Coasts and Shorelines, Desert and Arid Habitats, Fields, Meadows, and Grasslands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/burrowing-owl
